train_start,train_end,test_start,test_end,window_size,yqtr
2009-07-01,2016-06-30,2016-07-01,2016-09-30,7y,2016-q2
2009-10-01,2016-09-30,2016-10-01,2016-12-31,7y,2016-q3
2010-01-01,2016-12-31,2017-01-01,2017-03-31,7y,2016-q4
2010-04-01,2017-03-31,2017-04-01,2017-06-30,7y,2017-q1
2010-07-01,2017-06-30,2017-07-01,2017-09-30,7y,2017-q2
2010-10-01,2017-09-30,2017-10-01,2017-12-31,7y,2017-q3
2011-01-01,2017-12-31,2018-01-01,2018-03-31,7y,2017-q4
2011-04-01,2018-03-31,2018-04-01,2018-06-30,7y,2018-q1
2011-07-01,2018-06-30,2018-07-01,2018-09-30,7y,2018-q2
2011-10-01,2018-09-30,2018-10-01,2018-12-31,7y,2018-q3
2008-01-01,2015-12-31,2016-01-01,2016-03-31,8y,2015-q4
2008-04-01,2016-03-31,2016-04-01,2016-06-30,8y,2016-q1
2008-07-01,2016-06-30,2016-07-01,2016-09-30,8y,2016-q2
2008-10-01,2016-09-30,2016-10-01,2016-12-31,8y,2016-q3
2009-01-01,2016-12-31,2017-01-01,2017-03-31,8y,2016-q4
2009-04-01,2017-03-31,2017-04-01,2017-06-30,8y,2017-q1
2009-07-01,2017-06-30,2017-07-01,2017-09-30,8y,2017-q2
2009-10-01,2017-09-30,2017-10-01,2017-12-31,8y,2017-q3
2010-01-01,2017-12-31,2018-01-01,2018-03-31,8y,2017-q4
2010-04-01,2018-03-31,2018-04-01,2018-06-30,8y,2018-q1
2010-07-01,2018-06-30,2018-07-01,2018-09-30,8y,2018-q2
2010-10-01,2018-09-30,2018-10-01,2018-12-31,8y,2018-q3
2008-01-01,2016-12-31,2017-01-01,2017-03-31,9y,2016-q4
2008-04-01,2017-03-31,2017-04-01,2017-06-30,9y,2017-q1
2008-07-01,2017-06-30,2017-07-01,2017-09-30,9y,2017-q2
2008-10-01,2017-09-30,2017-10-01,2017-12-31,9y,2017-q3
2009-01-01,2017-12-31,2018-01-01,2018-03-31,9y,2017-q4
2009-04-01,2018-03-31,2018-04-01,2018-06-30,9y,2018-q1
2009-07-01,2018-06-30,2018-07-01,2018-09-30,9y,2018-q2
2009-10-01,2018-09-30,2018-10-01,2018-12-31,9y,2018-q3
